,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
61,PyCQA/pydocstyle,1028,179,742,"['python', 'linter', 'docstrings']",1098
62,globaleaks/GlobaLeaks,1021,196,16066,"['digital-human-rights', 'whistleblowing', 'anonymity', 'security', 'python', 'angularjs', 'twisted', 'sqlalchemy', 'letsencrypt', 'https', 'tor', 'bootstrap', 'openpgp', 'aes-encryption', 'usability', 'anti-corruption', 'libsodium', 'argon2', 'open-source', 'privacy']",234042
63,python-excel/xlwt,1021,283,329,[],657
64,obspy/obspy,1010,501,15190,"['seismology', 'python', 'observatories', 'science', 'earthquakes', 'data-center', 'waveforms', 'signal-processing', 'web-services', 'lgplv3', 'hacktoberfest']",105455
65,projecthamster/hamster,1006,241,3352,[],10653
66,flareteam/flare-game,1005,208,6909,"['rpg', '2d-game']",858188
67,kartograph/kartograph.py,1004,191,325,[],864
68,kbandla/dpkt,1001,261,813,[],1416
69,ocrmypdf/OCRmyPDF,8618,678,3375,"['python', 'ocr', 'pdf', 'image-processing', 'tesseract']",64966
70,openedx/edx-platform,6323,3124,62820,"['backend-service', 'hacktoberfest']",1909926
71,python-websockets/websockets,4484,467,1302,"['python', 'python3', 'websocket', 'websockets', 'websocket-client', 'websocket-server', 'websocket-library']",2796
72,pypi/warehouse,3215,878,6761,[],318904
73,ansible/ansible-lint,3046,545,2320,"['ansible', 'ansible-lint', 'pre-commit-hook', 'hacktoberfest', 'dot-config', 'ansible-devtools', 'pep-621']",7967
74,pallets-eco/blinker,1483,167,173,"['blinker', 'python', 'signals']",174
75,cocotb/cocotb,1325,410,3543,"['python', 'vhdl', 'verilog', 'uvm', 'verification', 'test']",7225
76,Neo23x0/yarGen,1227,247,193,"['python', 'yara', 'malware', 'malware-research', 'malware-analysis', 'malwareanalysis']",1184
77,imageio/imageio,1220,248,1465,"['python', 'imageio', 'animated-gif', 'video', 'webcam-capture', 'scientific-formats', 'dicom']",3277
78,JustGlowing/minisom,1216,377,512,"['machine-learning', 'vector-quantization', 'som', 'neural-networks', 'unsupervised-learning', 'manifold-learning', 'self-organizing-map', 'clustering', 'outlier-detection', 'dimensionality-reduction']",16028
79,pytest-dev/pytest-bdd,1148,181,1023,[],1552
80,mintapi/mintapi,1141,251,697,[],727
81,nicodv/kmodes,1137,389,524,"['python', 'clustering-algorithm', 'k-modes', 'k-prototypes', 'scikit-learn']",473
82,mido/mido,1133,177,2184,"['python', 'midi', 'midifile']",2619
83,autopkg/autopkg,1124,183,1734,"['autopkg', 'packaging', 'python', 'macadmin', 'automation', 'macos', 'apple', 'hacktoberfest']",2606
84,josegonzalez/python-github-backup,1098,192,326,['github-backup'],309
85,ZeroQI/Hama.bundle,1078,114,1071,"['plex', 'metadata', 'agent', 'anime']",2258
86,rcaloras/bashhub-client,1077,72,450,"['bash', 'history', 'cloud', 'shell', 'shell-extension', 'zsh', 'terminal']",340
87,mushorg/conpot,1077,368,1262,"['honeypot', 'scada', 'ics', 'python', 'security', 'hacktoberfest']",3045
88,aerkalov/ebooklib,1076,179,185,"['epub', 'python', 'python-library']",857
89,dgilland/pydash,1071,81,1186,"['lodash', 'utility', 'functional', 'python', 'python3']",1689
90,kvesteri/sqlalchemy-utils,1063,298,1368,[],2002
91,SavinaRoja/PyUserInput,1062,167,225,[],239
92,gabomdq/SDL_GameControllerDB,1060,248,1297,[],1344
93,nicotine-plus/nicotine-plus,1044,100,9013,"['python', 'soulseek', 'p2p', 'gtk', 'peer-to-peer', 'gtk3', 'chat', 'messaging', 'files']",86041
94,python-poetry/cleo,1042,79,469,"['python', 'cli', 'command-line']",1303
