,Full_names,Stars,Num_Forks,Num_Commits,Topics,Size
994,dicompyler/dicompyler-core,119,59,215,215,2954
995,stripe-archive/datadog-checks,98,24,248,248,270
996,zcyang/imageqa-san,104,52,21,21,24
997,hujingguang/OpsSystem,100,78,235,235,106397
998,dmort27/panphon,151,37,349,349,720
999,tbumi/glacier-upload,114,34,60,60,165
1000,mikeckennedy/ten-tips-for-pythonic-code-jetbrains-webcast,100,24,8,8,1518
1001,Miffyli/im2latex-dataset,116,33,33,33,37
1002,noam09/deluge-telegramer,128,23,133,133,2125
1003,phobosgroup/dtc2,97,27,27,27,262
1004,limhenry/earthview,105,18,15,15,1145
1005,LedgerHQ/blue-loader-python,111,73,197,197,296
1006,anhaidgroup/py_stringmatching,128,15,300,300,10101
1007,Tycx2ry/docker_api_vul,127,43,11,11,12
1008,Zenohm/Friday,103,24,91,91,120
1009,FranGoitia/basketball_reference,99,43,11,11,3219
1010,hlldz/wildPwn,99,44,13,13,230
1011,ratty3697/HackSpy-Trojan-Exploit,114,58,8,8,43809
1012,Trax-air/swagger-tester,101,34,128,128,113
1013,chingyaoc/VQA-tensorflow,99,50,14,14,16
1014,chrisjmccormick/LSA_Classification,102,61,17,17,9945
1015,BernardoGO/PyDB,97,5,78,78,154
1016,wojzaremba/trpo,95,42,12,12,15
1017,merose/diff_drive,122,54,55,55,46
1018,mypetyak/StrokeWidthTransform,100,44,5,5,9
1019,ssanderson/python-interface,105,15,106,106,133
1020,Busindre/dumpzilla,115,26,44,44,182
1021,hazelcast/hazelcast-python-client,107,60,612,612,4953
1022,Changaco/version.py,98,9,18,18,9
1023,and3rson/django-searchable-select,107,29,74,74,117
1024,PonyGE/PonyGE2,125,72,810,810,5812
1025,buxiebug/hexo_weibo_image,98,32,21,21,10
1026,deskmen/twisted-monitor,97,0,3,3,13
1027,primetang/pyflann,114,46,10,10,9151
1028,unixsurfer/haproxystats,108,22,290,290,483
1029,facelessuser/sublime-markdown-popups,106,16,447,447,5264
1030,smarthomeNG/smarthome,112,88,3869,3869,124458
1031,bscellier/Towards-a-Biologically-Plausible-Backprop,103,17,12,12,14
1032,bfansports/aws-lambda-python-local,100,16,21,21,51
1033,izuolan/dockerfiles,95,75,196,196,2203
1034,timniederhausen/gn-build,114,63,171,171,458
1035,EvoluxBR/greenswitch,114,53,104,104,77
1036,Te-k/analyst-scripts,121,42,163,163,1099
1037,lizadaly/brobot,96,55,27,27,33
1038,morucci/repoxplorer,109,23,565,565,8291
1039,GabrielRF/Send2KindleBot,146,56,343,343,352
1040,dinever/antispam,100,21,19,19,2503
1041,ramosian-glider/clang-kernel-build,99,16,47,47,36
1042,TUT-ARG/sed_eval,112,44,174,174,4540
1043,splewis/get5-web,106,46,189,189,706
1044,aman-roy/mp3_downloader,104,52,35,35,30
1045,zweed4u/Supreme,97,30,91,91,2565
1046,ibrahimokdadov/upload_file_python,104,99,13,13,7
1047,fomorians/td-gammon,108,42,148,148,363
1048,matthias-k/pysaliency,122,34,394,394,142752
1049,nicolehe/grow_slow,98,10,27,27,63
1050,Betree/magicblue,99,23,124,124,113
1051,ricleal/DjangoPlotLy,101,30,26,26,98
1052,alexmorozov/templated-docs,107,52,57,57,130
1053,KnightJun/Google-ML-Recipes-Chs-sub-and-code,96,33,37,37,75
